icd10cm_code,ccs_code
A00.0,1.0
A00.1,1.0
A00.9,1.0
A01.0,1.0
A01.1,1.0
A01.2,1.0
A01.3,1.0
A01.4,1.0
A01.9,1.0
A02.0,1.0
A02.1,1.0
A02.9,1.0
A03.0,1.0
A03.1,1.0
A03.2,1.0
A03.3,1.0
A03.9,1.0
A04.0,1.0
A04.1,1.0
A04.2,1.0
A04.3,1.0
A04.4,1.0
A04.5,1.0
A04.6,1.0
A04.7,1.0
A04.8,1.0
A04.9,1.0
A05.0,1.0
A05.1,1.0
A05.2,1.0
A05.3,1.0
A05.4,1.0
A05.9,1.0
C00.0,2.0
C00.1,2.0
C00.2,2.0
C00.3,2.0
C00.4,2.0
C00.5,2.0
C00.6,2.0
C00.8,2.0
C00.9,2.0
C01.0,2.0
C02.0,2.0
C02.1,2.0
C02.2,2.0
C02.3,2.0
C02.4,2.0
C02.9,2.0
C03.0,2.0
C03.1,2.0
C03.9,2.0
C04.0,2.0
C04.1,2.0
C04.9,2.0
C05.0,2.0
C05.1,2.0
C05.2,2.0
C05.8,2.0
C05.9,2.0
C06.0,2.0
C06.1,2.0
C06.2,2.0
C06.8,2.0
C06.9,2.0
C07.0,2.0
C07.1,2.0
C07.2,2.0
C07.3,2.0
C07.4,2.0
C07.5,2.0
C07.6,2.0
C07.8,2.0
C07.9,2.0
C08.0,2.0
C08.1,2.0
C08.2,2.0
C08.3,2.0
C08.4,2.0
C08.8,2.0
C08.9,2.0
C09.0,2.0
C09.1,2.0
C09.8,2.0
C09.9,2.0
C10.0,2.0
C10.1,2.0
C10.2,2.0
C10.3,2.0
C10.4,2.0
C10.8,2.0
C10.9,2.0
E10.0,3.0
E10.1,3.0
E10.10,3.0
E10.11,3.0
E10.21,3.0
E10.22,3.0
E10.28,3.0
E10.29,3.0
E10.3,3.0
E10.31,3.0
E10.32,3.0
E10.33,3.0
E10.34,3.0
E10.35,3.0
E10.36,3.0
E10.37,3.0
E10.38,3.0
E10.39,3.0
E10.4,3.0
E10.41,3.0
E10.42,3.0
E10.43,3.0
E10.44,3.0
E10.49,3.0
E10.5,3.0
E10.51,3.0
E10.52,3.0
E10.53,3.0
E10.54,3.0
E10.59,3.0
E10.6,3.0
E10.61,3.0
E10.62,3.0
E10.63,3.0
E10.64,3.0
E10.65,3.0
E10.69,3.0
E10.8,3.0
E10.81,3.0
E10.9,3.0
I10.0,7.0
I10.1,7.0
I10.2,7.0
I10.3,7.0
I10.8,7.0
I10.9,7.0
I11.0,7.0
I11.9,7.0
I12.0,7.0
I12.9,7.0
I13.0,7.0
I13.1,7.0
I13.2,7.0
I13.9,7.0
I15.0,7.0
I15.1,7.0
I15.2,7.0
I15.8,7.0
I15.9,7.0
I20.0,7.0
I20.1,7.0
I20.8,7.0
I20.9,7.0
I21.0,7.0
I21.1,7.0
I21.2,7.0
I21.3,7.0
I21.4,7.0
I21.9,7.0
I22.0,7.0
I22.1,7.0
I22.8,7.0
I22.9,7.0
I23.0,7.0
I24.0,7.0
I24.1,7.0
I24.8,7.0
I24.9,7.0
I25.0,7.0
I25.1,7.0
I25.10,7.0
I25.11,7.0
I25.2,7.0
I25.3,7.0
I25.4,7.0
I25.5,7.0
I25.6,7.0
I25.8,7.0
I25.9,7.0
